nCount, LINE_SEG_NBR,MILEPOST,TRACK_SDTK_NBR,TSC_CD,CLASS,TEST_FSPD,TEST_PSPD,DFCT_TYPE,TIMEGAP, DEF_PRTY1, DEF_PRTY2, DEF_LGTH1, DEF_LGTH2, DEF_AMPLTD1, DEF_AMPLTD2, NosOfInsp,TOT_DFLT_MGT
102,1,158.846,0,T,4,60,0,DIP,12,YEL,YEL,6,4,1.72,1.62,1,2.27019
103,1,159.894,0,T,4,60,0,DIP,39,YEL,YEL,5,8,1.51,1.56,1,7.99898
104,1,160.936,0,T,4,60,0,DIP,48,YEL,YEL,13,16,1.64,1.69,1,8.46705
105,1,160.936,0,T,4,60,0,DIP,77,YEL,RED,16,15,1.69,1.78,1,13.4703
106,1,162.904,0,T,4,60,0,DIP,41,YEL,YEL,4,4,1.54,1.57,1,7.65253
107,1,162.904,0,T,4,60,0,DIP,113,YEL,YEL,4,4,1.57,1.57,1,21.9634
108,1,162.904,0,T,4,60,0,DIP,36,YEL,YEL,4,4,1.57,1.56,1,7.26781
109,1,163.934,0,T,4,60,0,DIP,61,RED,RED,13,22,2.02,2.55,1,10.1863
110,1,167.785,0,C,4,60,0,DIP,38,YEL,YEL,11,5,1.53,1.56,1,7.91717
111,1,169.566,0,T,4,60,0,DIP,113,YEL,YEL,5,8,1.53,1.67,1,21.9634
112,1,173.411,0,T,4,60,0,DIP,36,YEL,YEL,4,10,1.53,1.73,1,7.26781
113,1,173.874,0,T,4,60,0,DIP,36,YEL,YEL,3,13,1.53,1.53,1,7.26781
114,1,176.926,0,T,4,60,0,DIP,35,YEL,YEL,6,3,1.63,1.55,1,5.48904
115,1,176.926,0,T,4,60,0,DIP,39,YEL,YEL,3,3,1.55,1.53,1,6.87079
116,1,176.926,0,T,4,60,0,DIP,73,YEL,YEL,3,6,1.53,1.64,1,14.1632
117,1,176.926,0,T,4,60,0,DIP,105,YEL,RED,6,10,1.66,1.92,1,21.4456
118,1,178.674,0,T,4,60,0,DIP,77,YEL,YEL,17,5,1.7,1.58,1,13.4682
119,1,178.674,0,T,4,60,0,DIP,36,YEL,YEL,3,10,1.51,1.67,1,7.26781
120,1,181.816,0,T,4,60,0,DIP,48,YEL,RED,7,11,1.71,2.12,1,8.47075
121,1,185.224,0,T,4,60,0,DIP,48,RED,RED,18,8,2.1,1.83,1,8.47075
122,1,185.224,0,T,4,60,0,DIP,25,YEL,YEL,4,5,1.53,1.67,1,3.75753
123,1,185.224,0,T,4,60,0,DIP,35,YEL,YEL,5,4,1.67,1.64,1,5.48904
124,1,185.224,0,T,4,60,0,DIP,39,YEL,RED,4,9,1.64,1.97,1,6.87079
125,1,185.476,0,T,4,60,0,DIP,48,YEL,YEL,9,12,1.61,1.68,1,8.47075
126,1,194.116,0,T,4,60,0,DIP,73,YEL,YEL,6,7,1.58,1.6,1,14.1631
127,1,194.116,0,T,4,60,0,DIP,105,YEL,RED,11,13,1.72,1.96,1,21.4458
128,1,195.243,0,T,4,60,0,DIP,167,YEL,YEL,5,3,1.55,1.51,1,31.4978
129,1,195.243,0,T,4,60,0,DIP,25,YEL,YEL,5,6,1.53,1.59,1,3.75443
130,1,202.414,0,T,4,60,0,DIP,12,YEL,YEL,15,16,1.63,1.69,1,2.27783
131,1,206.656,0,T,4,60,0,DIP,32,YEL,YEL,9,8,1.64,1.65,1,6.47897
132,1,206.656,0,T,4,60,0,DIP,49,YEL,YEL,8,4,1.65,1.53,1,10.2057
133,1,206.656,0,T,4,60,0,DIP,167,YEL,YEL,4,8,1.53,1.61,1,31.4975
134,1,206.656,0,T,4,60,0,DIP,25,RED,RED,11,8,1.76,1.8,1,3.75976
135,1,213.876,0,T,4,60,0,DIP,61,YEL,YEL,6,5,1.66,1.66,1,10.1948
136,1,216.071,0,T,4,60,0,DIP,25,RED,RED,10,8,2.14,1.8,1,3.76068
137,1,216.288,0,T,4,60,0,DIP,19,YEL,YEL,7,9,1.63,1.71,1,2.81755
138,1,225.123,0,T,4,60,0,DIP,25,RED,RED,17,19,2.09,2.27,1,3.76068
139,2,21.6127,0,T,5,70,79,DIP,30,YEL,RED,3,4,1.34,1.51,1,4.73892
140,2,23.0559,0,T,5,70,79,DIP,30,RED,RED,5,3,1.57,1.56,1,4.72252
141,2,37.9418,0,T,5,70,79,DIP,13,RED,RED,21,9,1.81,1.63,1,4.07186
142,2,39.8866,0,T,5,70,79,DIP,41,YEL,YEL,9,9,1.44,1.42,1,6.23725
143,2,39.9277,0,T,5,70,79,DIP,13,YEL,YEL,3,7,1.25,1.29,1,3.35999
144,2,39.9277,0,T,5,70,79,DIP,41,YEL,YEL,7,6,1.29,1.29,1,6.23725
145,2,48.9353,0,T,5,70,79,DIP,13,YEL,YEL,6,6,1.31,1.29,1,4.10726
146,2,54.2908,0,T,5,70,79,DIP,41,YEL,YEL,9,9,1.4,1.35,1,5.86684
147,2,54.2908,0,T,5,70,79,DIP,29,YEL,RED,9,7,1.35,1.62,1,4.46991
148,2,64.5477,0,T,5,70,79,DIP,41,YEL,YEL,4,4,1.3,1.3,1,7.00634
149,2,64.5477,0,T,5,70,79,DIP,42,YEL,YEL,4,4,1.3,1.29,1,8.55643
150,2,68.7274,0,T,5,70,79,DIP,50,YEL,YEL,5,5,1.4,1.38,1,8.61954
151,2,72.5696,0,T,4,60,65,DIP,50,YEL,RED,8,10,1.67,2.23,1,8.61954
152,2,85.5253,0,T,4,60,70,DIP,41,YEL,YEL,3,16,1.51,1.72,1,6.65171
153,2,86.5301,0,T,4,60,70,DIP,41,YEL,YEL,4,3,1.65,1.62,1,5.6095
154,2,89.9059,0,T,4,60,70,DIP,41,YEL,YEL,5,6,1.61,1.73,1,6.5379
155,2,89.9466,0,T,4,60,79,DIP,13,YEL,YEL,5,6,1.55,1.67,1,3.97631
156,2,93.4885,0,T,5,70,70,DIP,71,YEL,YEL,3,5,1.26,1.27,1,12.9714
157,2,94.0765,0,T,5,70,79,DIP,103,YEL,RED,5,6,1.35,1.58,1,17.9807
158,2,95.479,0,T,5,70,79,DIP,71,YEL,YEL,10,16,1.35,1.41,1,12.9714
159,2,95.479,0,T,5,70,79,DIP,113,YEL,YEL,16,14,1.41,1.37,1,20.4082
160,2,99.2326,0,T,5,70,79,DIP,50,YEL,YEL,7,4,1.33,1.33,1,6.65314
161,2,99.2326,0,T,5,70,79,DIP,41,YEL,YEL,4,4,1.33,1.45,1,5.10281
162,2,102.115,0,T,5,70,79,DIP,50,YEL,RED,14,4,1.49,2.13,1,7.69249
163,2,132.235,0,T,5,70,79,DIP,35,YEL,RED,9,8,1.46,1.59,1,4.6737
164,2,132.235,0,T,5,70,79,DIP,42,YEL,YEL,10,9,1.5,1.47,1,7.79862
165,2,132.268,0,T,5,70,79,DIP,35,YEL,YEL,13,5,1.35,1.28,1,4.6737
166,2,132.268,0,T,5,70,79,DIP,77,YEL,RED,3,9,1.28,1.53,1,13.61
167,2,135.694,0,T,5,70,79,DIP,52,YEL,RED,4,9,1.27,1.67,1,10.0851
168,2,135.694,0,T,5,70,79,DIP,35,YEL,YEL,4,6,1.36,1.36,1,5.08619
169,2,137.462,0,T,5,70,79,DIP,103,YEL,YEL,9,11,1.39,1.46,1,16.8512
170,2,137.462,0,T,5,70,79,DIP,41,YEL,YEL,11,10,1.46,1.44,1,5.80868
171,2,137.462,0,T,5,70,79,DIP,56,YEL,YEL,9,9,1.33,1.38,1,9.05827
172,2,137.462,0,T,5,70,79,DIP,50,YEL,RED,8,8,1.32,1.6,1,6.96757
173,2,137.462,0,T,5,70,79,DIP,41,RED,RED,8,14,1.6,1.6,1,5.79465
174,2,137.506,0,T,5,70,79,DIP,36,YEL,YEL,4,7,1.27,1.35,1,7.76774
175,2,137.506,0,T,5,70,79,DIP,40,YEL,RED,12,8,1.47,1.53,1,5.68457
176,2,143.498,0,T,5,70,79,DIP,13,YEL,YEL,4,5,1.29,1.38,1,3.95374
177,2,158.549,0,T,5,70,79,DIP,41,YEL,YEL,4,3,1.27,1.25,1,8.13108
178,2,158.549,0,T,5,70,79,DIP,36,YEL,YEL,3,7,1.27,1.33,1,7.6693
179,2,158.549,0,T,5,70,79,DIP,40,YEL,YEL,5,6,1.3,1.33,1,5.58666
180,2,159.23,0,T,5,70,79,DIP,164,YEL,YEL,10,7,1.38,1.38,1,22.5932
181,2,159.23,0,T,5,70,79,DIP,61,YEL,YEL,7,6,1.38,1.35,1,7.42501
182,2,159.23,0,T,5,70,79,DIP,113,YEL,YEL,6,5,1.34,1.29,1,15.8561
183,2,159.23,0,T,5,70,79,DIP,56,YEL,RED,10,15,1.46,1.91,1,7.74696
184,2,160.654,0,T,5,70,79,DIP,71,YEL,RED,5,10,1.33,1.99,1,9.76424
185,2,160.654,0,T,5,70,79,DIP,56,YEL,RED,4,12,1.32,1.65,1,7.70291
186,2,160.654,0,T,5,70,79,DIP,42,YEL,YEL,4,8,1.27,1.33,1,5.55505
187,2,160.654,0,T,5,70,79,DIP,39,YEL,RED,7,10,1.5,1.77,1,4.16482
188,2,163,0,T,5,70,79,DIP,41,YEL,YEL,5,3,1.29,1.26,1,5.29344
189,2,165.119,0,C,5,70,79,DIP,74,YEL,YEL,7,12,1.31,1.44,1,12.7497
190,2,168.179,0,T,5,70,79,DIP,41,YEL,YEL,14,17,1.35,1.43,1,8.12725
191,2,168.179,0,T,5,70,79,DIP,74,RED,RED,15,14,1.55,1.6,1,12.7497
192,2,168.743,0,T,5,70,79,DIP,40,YEL,YEL,7,8,1.37,1.44,1,5.58021
193,2,169.589,0,T,5,70,79,DIP,74,YEL,RED,7,13,1.32,1.82,1,12.7497
194,2,170.314,0,C,5,70,79,DIP,47,YEL,YEL,5,7,1.36,1.36,1,6.30005
195,2,170.314,0,C,5,70,79,DIP,41,YEL,YEL,7,7,1.36,1.34,1,5.25695
196,2,170.314,0,C,5,70,79,DIP,42,YEL,YEL,7,8,1.34,1.36,1,6.85089
197,2,172.345,0,T,5,70,79,DIP,50,YEL,RED,7,6,1.29,1.56,1,5.22222
198,2,172.345,0,T,5,70,79,DIP,41,RED,RED,6,5,1.56,1.55,1,4.31733
199,2,173.75,0,T,5,70,79,DIP,41,YEL,YEL,3,7,1.31,1.48,1,4.31733
200,2,173.75,0,T,5,70,79,DIP,28,YEL,RED,7,4,1.48,1.52,1,3.27707
201,2,177.575,0,T,4,60,70,DIP,33,YEL,YEL,5,10,1.56,1.71,1,6.10386
202,2,177.575,0,T,4,60,70,DIP,48,YEL,YEL,10,9,1.71,1.7,1,8.7819
203,2,177.575,0,T,4,60,70,DIP,28,YEL,RED,9,5,1.7,1.75,1,6.26555
204,2,188.096,0,T,5,70,79,DIP,74,YEL,YEL,3,7,1.26,1.4,1,12.7334
205,2,191.714,0,T,5,70,79,DIP,48,YEL,RED,9,11,1.38,1.7,1,7.27242
206,2,192.279,0,T,5,70,70,DIP,123,YEL,YEL,5,5,1.3,1.34,1,17.0098
207,2,192.279,0,T,5,70,70,DIP,32,YEL,YEL,5,4,1.34,1.31,1,4.52993
208,2,196.403,0,T,5,70,79,DIP,50,YEL,YEL,4,9,1.26,1.4,1,6.23457
209,2,196.403,0,T,5,70,79,DIP,41,YEL,YEL,9,4,1.4,1.28,1,5.32498
210,2,196.403,0,T,5,70,79,DIP,28,YEL,YEL,4,5,1.28,1.41,1,3.97673
211,2,197.413,0,T,5,70,79,DIP,127,YEL,YEL,4,10,1.26,1.35,1,21.7267
212,2,197.413,0,T,5,70,79,DIP,49,YEL,YEL,10,10,1.35,1.36,1,8.2063
213,2,197.413,0,T,5,70,79,DIP,74,YEL,YEL,10,11,1.36,1.41,1,12.7524
214,2,201.684,0,T,5,70,79,DIP,49,YEL,YEL,5,8,1.26,1.3,1,8.2063
215,2,201.684,0,T,5,70,79,DIP,74,YEL,YEL,8,4,1.3,1.28,1,12.7524
216,2,201.684,0,T,5,70,79,DIP,48,YEL,YEL,13,14,1.41,1.48,1,7.2635
217,2,201.684,0,T,5,70,79,DIP,13,YEL,YEL,14,6,1.48,1.44,1,3.86373
218,2,201.684,0,T,5,70,79,DIP,71,YEL,YEL,12,15,1.35,1.44,1,12.169
219,2,201.684,0,T,5,70,79,DIP,113,YEL,YEL,15,9,1.44,1.36,1,19.3219
220,2,201.684,0,T,5,70,79,DIP,56,YEL,RED,17,8,1.44,1.6,1,9.24329
221,2,202.25,0,T,5,70,79,DIP,71,YEL,YEL,3,5,1.29,1.34,1,12.169
222,2,202.25,0,T,5,70,79,DIP,56,YEL,RED,8,13,1.47,2.16,1,9.24329
223,2,202.25,0,T,5,70,79,DIP,41,YEL,YEL,5,10,1.31,1.5,1,5.32498
224,2,202.25,0,T,5,70,79,DIP,28,YEL,YEL,10,8,1.5,1.47,1,3.97673
225,2,202.25,0,T,5,70,79,DIP,66,YEL,YEL,8,7,1.47,1.39,1,12.5032
226,2,202.535,0,T,5,70,79,DIP,48,YEL,YEL,6,6,1.37,1.35,1,7.2635
227,2,202.535,0,T,5,70,79,DIP,13,YEL,YEL,6,8,1.35,1.42,1,3.86373
228,2,203.281,0,T,5,70,79,DIP,32,YEL,YEL,6,6,1.29,1.29,1,5.62451
229,2,203.903,0,T,5,70,79,DIP,56,RED,RED,6,42,1.59,3.67,1,9.24329
230,2,204.231,0,T,5,70,79,DIP,56,YEL,RED,4,9,1.37,1.85,1,9.24329
231,2,204.231,0,T,5,70,79,DIP,47,RED,RED,9,8,1.85,1.68,1,6.29514
232,2,205.315,0,T,5,70,79,DIP,39,YEL,YEL,4,4,1.3,1.33,1,6.02445
233,2,205.315,0,T,5,70,79,DIP,71,YEL,YEL,4,5,1.33,1.32,1,12.169
234,2,206.191,0,T,5,70,70,DIP,123,YEL,YEL,5,5,1.3,1.28,1,17.2509
235,2,213.081,0,T,5,70,79,DIP,32,YEL,YEL,7,9,1.28,1.3,1,5.63526
236,2,213.081,0,T,5,70,79,DIP,48,YEL,YEL,3,5,1.28,1.25,1,7.26819
237,2,213.081,0,T,5,70,79,DIP,13,YEL,YEL,5,10,1.25,1.29,1,3.88066
238,2,216.501,0,T,5,70,79,DIP,41,YEL,YEL,5,7,1.32,1.42,1,5.32414
239,2,216.634,0,T,5,70,79,DIP,32,YEL,YEL,10,7,1.36,1.3,1,5.63526
240,2,216.904,0,T,5,70,79,DIP,13,YEL,YEL,12,10,1.41,1.4,1,3.88066
241,2,216.904,0,T,5,70,79,DIP,71,YEL,YEL,10,14,1.3,1.38,1,12.1576
242,2,216.904,0,T,5,70,79,DIP,113,YEL,YEL,14,13,1.38,1.33,1,19.2983
243,2,216.904,0,T,5,70,79,DIP,56,YEL,YEL,3,7,1.25,1.48,1,9.29652
244,2,216.904,0,T,5,70,79,DIP,28,YEL,YEL,5,6,1.35,1.37,1,3.97784
245,2,217.324,0,T,5,70,79,DIP,13,YEL,YEL,5,6,1.28,1.3,1,3.88066
246,2,219.325,0,T,5,70,79,DIP,39,YEL,YEL,4,7,1.31,1.43,1,6.0296
247,2,219.325,0,T,5,70,79,DIP,71,YEL,YEL,7,6,1.43,1.38,1,12.1576
248,2,222.091,0,T,5,70,79,DIP,56,YEL,YEL,5,6,1.27,1.39,1,7.85879
249,2,222.091,0,T,5,70,79,DIP,88,YEL,YEL,6,10,1.39,1.38,1,10.1126
250,2,223.409,0,T,5,70,79,DIP,113,YEL,YEL,6,10,1.31,1.43,1,19.3555
251,2,224.635,0,T,5,70,79,DIP,41,YEL,YEL,7,5,1.35,1.31,1,5.42809
252,2,225,0,T,5,70,79,DIP,41,YEL,YEL,3,9,1.28,1.5,1,5.42809
253,2,228,0,T,5,70,79,DIP,56,YEL,RED,3,5,1.28,1.51,1,7.47312
254,2,229.325,0,T,5,70,70,DIP,123,YEL,YEL,5,7,1.28,1.33,1,17.1594
255,2,229.325,0,T,5,70,70,DIP,32,YEL,YEL,7,8,1.33,1.34,1,5.66363
256,2,230.057,0,T,5,70,79,DIP,33,YEL,YEL,3,8,1.31,1.46,1,6.18303
257,2,233.299,0,T,5,70,79,DIP,50,YEL,YEL,3,7,1.3,1.3,1,6.3519
258,2,239.174,0,T,5,70,79,DIP,71,YEL,YEL,3,3,1.26,1.29,1,9.64891
259,2,239.807,0,T,5,70,79,DIP,39,RED,RED,12,11,1.55,1.52,1,4.93072
260,2,244.19,0,T,5,70,79,DIP,99,YEL,YEL,7,8,1.32,1.38,1,19.4977
261,2,244.19,0,T,5,70,79,DIP,14,YEL,RED,8,9,1.38,1.51,1,6.50206
262,2,245.105,0,T,5,70,79,DIP,13,YEL,YEL,17,4,1.38,1.33,1,3.93611
263,2,246.486,0,T,5,70,79,DIP,13,YEL,YEL,5,5,1.29,1.35,1,3.93611
264,2,246.486,0,T,5,70,79,DIP,39,YEL,YEL,7,7,1.37,1.43,1,6.09999
265,2,247.125,0,T,5,70,79,DIP,113,YEL,YEL,6,3,1.35,1.26,1,19.4094
266,2,247.125,0,T,5,70,79,DIP,56,YEL,RED,6,10,1.36,1.59,1,9.34469
267,2,248.517,0,T,5,70,79,DIP,13,YEL,YEL,5,14,1.27,1.34,1,3.93611
268,2,248.517,0,T,5,70,79,DIP,39,YEL,YEL,14,17,1.35,1.47,1,6.09999
